"R0000100","R0536300","R0536402","R1482600","R2563600","R2568302","R3508600","R3510500","R3511300","R3516200","R3516900","R3517700","R3518200","R3519200","R4907500","Z9060800"
226,2,1981,1,4,1999,-4,-4,-4,-4,-4,-4,-4,-4,-4,37
227,2,1980,3,10,1999,1,-4,-4,-4,-4,-4,-4,-4,-4,0
228,1,1984,4,1,1998,-4,-4,-4,-4,-4,-4,-4,-4,-4,0
229,2,1984,4,1,1999,-4,-4,-4,-4,-4,-4,-4,-4,-4,3
230,1,1984,2,1,1999,2,0,-4,-4,-4,-4,-4,2,4,9
231,1,1980,2,10,1999,-4,-4,-4,-4,-4,-4,-4,0,8,34
232,1,1984,2,4,1999,0,-4,-4,-4,2,-4,-4,-4,3,0
233,1,1980,2,1,1999,-4,0,-4,-4,-4,-4,-4,-4,10,26
234,2,1983,2,2,1999,-4,-4,-4,-4,-4,-4,-4,-4,-4,0
235,2,1981,4,1,1999,20,-4,-4,-4,-4,-4,-4,-4,1,27
236,2,1984,2,4,1999,0,-4,-4,-4,-4,-4,-4,-4,0,0
237,1,1983,4,1,1999,-4,-4,-4,-4,-4,-4,-4,-4,-4,0
238,2,1981,4,4,1999,1,-4,-4,-4,-4,-4,-4,-4,1,0
239,1,1980,4,1,1999,-4,-4,-4,-4,-4,0,-4,-4,-5,0
240,2,1983,4,1,1999,5,-4,-4,-4,-4,-4,-4,-4,4,0
241,2,1983,2,1,1998,-4,-4,-4,-4,-4,-4,-4,-4,1,0
242,1,1984,2,1,1998,-4,-4,-4,-4,-4,-4,-4,-4,-4,0
243,2,1983,3,1,1998,-4,-4,-4,-4,-4,-4,-4,-4,-4,0
244,1,1983,2,1,1998,-4,-4,-4,-4,-4,-4,-4,-4,-4,0
245,2,1984,4,1,1998,-4,-4,-4,-4,-4,-4,-4,-4,-4,0
246,1,1980,2,4,1998,-4,-4,-4,-4,-4,-4,-4,-4,0,26
247,1,1982,4,1,1998,15,2,-4,-4,-4,-4,-4,-4,6,42
248,2,1983,4,1,1998,5,-4,-4,-4,-4,-4,-4,-4,-4,52
249,1,1981,4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,0
250,1,1981,4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,0
251,1,1982,2,1,1998,-4,-4,-4,-4,-4,-4,-4,-4,-4,0
252,2,1984,2,1,1998,-4,-4,-4,-4,-4,-4,-4,-4,-4,0
253,2,1984,4,1,1999,-4,-4,-4,-4,-4,-4,-4,-4,-4,0
254,1,1981,4,4,1998,-4,-4,-4,-4,-4,-4,-4,-4,1,50
255,2,1983,4,4,1998,-4,-4,-4,-4,-4,-4,-4,-4,-4,48
256,1,1980,4,-5,-5,30,-4,-4,-4,-4,-4,-4,-4,10,0
257,1,1984,4,1,1999,30,-4,-4,-4,-4,-4,-4,-4,5,0
258,1,1982,4,5,1998,0,-4,-4,-4,-4,-4,-4,-4,10,0
259,1,1981,4,1,1999,-4,-4,-4,-4,-4,-4,-4,-4,5,0
260,1,1980,1,4,1998,-4,-4,-4,-4,-4,-4,-4,-4,-4,0
261,1,1983,1,4,1998,-4,-4,-4,2,-4,-4,5,-4,3,0
262,1,1980,1,4,1998,-4,-4,-4,-4,-4,-4,-4,-4,2,0
263,1,1983,1,4,1998,6,0,-4,-4,-4,-4,-4,-4,-4,0
264,1,1982,4,1,1998,-4,-4,-4,-4,-4,-4,-4,-4,5,0
265,1,1983,2,1,1999,-4,-4,-4,-4,-4,-4,-4,-4,0,0
266,2,1980,4,2,1999,10,-4,-4,-4,-4,-4,-4,-4,3,52
267,2,1980,4,1,1999,0,-4,-4,-4,-4,-4,-4,-4,0,0
268,1,1981,2,2,1999,-4,-4,-4,-4,-4,-4,-4,-4,0,18
269,2,1981,4,-5,-5,10,-4,-4,-4,3,-4,-4,-4,1,0
270,2,1984,4,1,1999,30,7,-4,5,20,3,-4,30,3,0
271,2,1982,4,1,1999,30,2,-4,-4,-4,-4,-4,-4,3,0
272,2,1982,2,4,1999,0,-4,-4,-4,-4,-4,-4,-4,-4,0
273,2,1983,2,4,1999,-4,-4,-4,-4,-4,-4,-4,-4,0,0
274,2,1980,2,4,1999,-5,-5,-5,-5,-5,-5,-5,-5,-5,0
275,1,1980,2,1,1999,-4,-4,-4,-4,-4,-4,-4,-4,0,52
276,2,1982,2,9,1999,-4,-4,-4,-4,-4,-4,-4,-4,-4,0
277,1,1984,2,4,1999,-4,-4,-4,-4,-4,-4,-4,-4,-5,0
278,1,1980,4,1,1999,-2,-2,-4,-2,-2,-4,-2,-2,-4,5
279,1,1981,4,1,1999,-4,-4,-4,-4,-4,-4,-4,-4,-5,10
280,1,1983,4,1,1999,2,-4,-4,-4,-4,-4,-4,-4,0,52
281,1,1984,1,4,1998,-4,-4,-4,-4,-4,-4,-4,-4,3,0
282,1,1980,4,1,1999,30,1,0,3,5,-4,-4,7,-4,13
283,1,1984,4,1,1999,-4,-4,-4,-4,-4,-4,-4,-4,-4,0
284,2,1981,1,2,1999,-4,-4,-4,-4,-4,-4,-4,-4,-4,0
285,1,1981,4,1,1999,-4,-4,-4,-4,-4,-4,-4,-4,-4,0
286,2,1984,4,1,1999,0,-4,-4,-4,-4,-4,-4,-4,10,0
287,1,1980,4,1,1999,30,-4,-4,-4,-4,-4,-4,-4,3,51
288,2,1983,4,1,1999,1,-4,-4,-4,-4,-4,-4,-4,0,10
289,2,1984,4,1,1999,-4,-4,-4,-4,-4,-4,-4,-4,0,0
290,2,1984,4,1,1999,-4,-4,-4,-4,-4,-4,-4,-4,0,1
291,2,1980,4,1,1999,30,-4,-4,-4,20,-4,-4,5,0,34
292,2,1984,1,1,1999,2,0,-4,-4,1,-4,-4,-4,-4,8
293,2,1983,2,1,1999,-4,-4,-4,-4,-4,-4,-4,-4,-4,0
294,1,1982,2,1,1999,-4,-4,-4,-4,-4,-4,-4,-4,-4,22
295,2,1984,2,4,1999,-4,-4,-4,-4,-4,-4,-4,-4,4,0
296,2,1981,2,1,1998,-4,-4,-4,-4,-4,-4,-4,-4,-4,27
297,1,1984,2,1,1998,-4,-4,-4,-4,-4,-4,-4,-4,-4,0
298,2,1983,4,1,1999,-4,-4,-4,-4,-4,-4,-4,-4,5,0
299,1,1981,4,1,1998,-5,-5,-5,-5,-5,-5,-5,-5,-5,39
300,2,1984,4,1,1998,0,-4,-4,-4,-4,-4,-4,-4,0,0
301,2,1981,4,4,1999,-4,-4,-4,-4,-4,-4,-4,-4,15,28
302,2,1984,4,1,1999,-4,-2,-4,-4,-4,-4,-4,-4,-5,0
303,2,1980,4,2,1999,20,0,-4,-4,-4,-4,-4,-4,5,8
304,1,1983,4,2,1999,-4,-4,-4,-4,-4,-4,-4,-4,4,30
305,2,1983,4,1,1999,-4,-4,-4,-4,-4,-4,-4,-4,-4,0
306,2,1980,4,7,1999,0,-4,-4,-4,-4,-4,-4,-4,2,26
307,2,1980,4,7,1999,-4,0,-4,-4,-4,-4,-4,2,4,23
308,1,1981,4,7,1999,-4,-4,-4,-4,-4,-4,-4,-4,-4,30
309,2,1981,4,7,1999,-4,-4,-4,-4,-4,-4,-4,-4,-4,10
310,2,1982,4,7,1999,-4,-4,-4,-4,-4,-4,-4,-4,-5,11
311,1,1982,4,6,1999,0,0,-4,-4,-4,-4,-4,-4,1,4
312,2,1982,4,6,1999,30,-4,-4,-4,-4,-4,-4,-4,10,44
313,2,1981,4,1,1999,-4,0,-4,-4,-4,-4,-4,-4,6,22
314,1,1984,4,1,1999,-4,-4,-4,-4,-4,-4,-4,-4,-4,0
315,2,1982,4,1,1999,30,0,0,-4,-4,-4,-4,-4,28,44
316,1,1982,4,1,1999,0,-4,-4,-4,-4,-4,-4,-4,30,19
317,2,1980,2,4,1999,-4,-4,-4,-4,-4,-4,-4,-4,-4,18
318,1,1983,4,4,1999,25,-4,-4,1,-4,-4,-4,-4,-4,0
319,2,1983,4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-4
320,2,1982,4,-5,-5,0,-4,-4,-4,-4,-4,-4,-4,10,19
321,1,1981,4,1,1998,30,-4,0,-4,5,-4,-4,-4,10,52
322,2,1982,4,4,1999,-4,-4,-4,-4,-4,-4,-4,-4,0,0
323,1,1980,4,4,1998,-4,-4,-4,-4,30,3,50,-4,5,29
324,1,1980,4,1,1999,-4,0,-4,-4,-4,-4,-4,-4,-5,0
325,1,1984,4,4,1999,-4,-4,-4,1,-4,-4,-4,-4,2,0
